City_ID,City,Lat,Lng,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Datetime
0,Albany,42.6,-73.97,79.0,66,12,3.04,US,1592577607
1,Jamestown,42.1,-79.24,75.0,73,40,4.7,US,1592577743
2,Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1592577743
3,Barrow,71.29,-156.79,35.6,93,90,12.75,US,1592577743
4,Klaksvík,62.23,-6.59,57.2,71,84,9.17,FO,1592577744
5,Kaitong,44.81,123.15,66.2,89,100,10.22,CN,1592577744
6,Ushuaia,-54.8,-68.3,35.6,80,75,3.36,AR,1592577745
7,Provideniya,64.38,-173.3,54.1,57,15,3.15,RU,1592577745
8,Bima,-8.47,118.72,74.71,88,100,4.65,ID,1592577745
9,Rikitea,-23.12,-134.97,72.79,90,100,12.71,PF,1592577746
10,Vao,-22.67,167.48,70.14,80,22,15.7,NC,1592577746
11,Inhambane,-23.86,35.38,71.6,68,40,11.41,MZ,1592577746
12,Merauke,-8.47,140.33,78.35,79,99,16.73,ID,1592577747
13,Alvorada,-12.48,-49.12,86.58,37,0,11.01,BR,1592577747
14,Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1592577747
15,Dingle,11.0,122.67,76.32,83,90,2.73,PH,1592577747
16,Pacifica,37.61,-122.49,60.01,82,40,3.36,US,1592577459
17,Kapaa,22.08,-159.32,77.0,78,40,16.11,US,1592577748
18,Tombouctou,20.0,-3.0,109.9,12,89,14.18,ML,1592577748
19,Mahébourg,-20.41,57.7,72.0,71,96,8.99,MU,1592577749
20,Solntsevo,51.42,36.75,82.4,39,40,13.42,RU,1592577749
21,Yellowknife,62.46,-114.35,55.4,62,20,18.34,CA,1592577642
22,Severnyy,50.68,36.55,84.2,48,92,15.66,RU,1592577749
23,Khatanga,71.97,102.5,56.95,62,21,14.25,RU,1592577750
24,Qaanaaq,77.48,-69.36,35.47,83,84,2.53,GL,1592577750
25,Arona,28.1,-16.68,78.8,57,20,25.28,ES,1592577750
26,Bethel,41.37,-73.41,77.0,64,20,4.7,US,1592577751
27,Esim,4.87,-2.24,81.41,72,100,9.66,GH,1592577751
28,Ribeira Grande,38.52,-28.7,68.0,82,75,13.87,PT,1592577751
29,Lüderitz,-26.65,15.16,82.4,20,0,11.41,NA,1592577751
30,Vaini,-21.2,-175.2,73.4,83,40,8.05,TO,1592577752
31,Arraial do Cabo,-22.97,-42.03,82.4,48,62,4.7,BR,1592577752
32,Tobane,-21.95,27.9,64.4,68,75,4.7,BW,1592577752
33,Hamilton,39.18,-84.53,80.01,78,1,4.7,US,1592577753
34,Cape Town,-33.93,18.42,73.0,43,0,16.11,ZA,1592577753
35,Turukhansk,65.82,87.98,53.4,95,100,5.21,RU,1592577753
36,Verkhnevilyuysk,63.45,120.32,63.86,57,47,3.0,RU,1592577754
37,Bathsheba,13.22,-59.52,78.8,78,75,21.92,BB,1592577754
38,Farkhor,37.49,69.4,91.4,24,20,2.24,TJ,1592577754
39,Punta Arenas,-53.15,-70.92,35.6,93,90,8.05,CL,1592577502
40,Coquimbo,-29.95,-71.34,55.4,66,74,5.82,CL,1592577755
41,Hay River,60.82,-115.8,66.2,55,5,9.17,CA,1592577726
42,Chui,-33.7,-53.46,60.96,65,36,5.32,UY,1592577755
43,Carnarvon,-24.87,113.63,62.6,88,0,10.29,AU,1592577756
44,Bambous Virieux,-20.34,57.76,72.0,71,100,8.99,MU,1592577756
45,São Filipe,14.9,-24.5,80.15,64,0,5.97,CV,1592577756
46,Nikolskoye,59.7,30.79,77.0,47,20,8.95,RU,1592577757
47,Avarua,-21.21,-159.78,71.6,73,3,6.93,CK,1592577757
48,Piaçabuçu,-10.41,-36.43,81.34,72,24,15.3,BR,1592577757
49,Busselton,-33.65,115.33,48.99,77,51,8.5,AU,1592577757
50,Chokurdakh,70.63,147.92,76.05,35,25,4.99,RU,1592577758
51,Nouadhibou,20.93,-17.03,78.8,61,0,18.34,MR,1592577759
52,Belmonte,-15.86,-38.88,80.6,74,75,14.99,BR,1592577759
53,Peachland,49.77,-119.74,64.0,60,90,1.99,CA,1592577759
54,Egvekinot,66.32,-179.17,52.14,53,100,2.91,RU,1592577759
55,Ancud,-41.87,-73.82,48.0,87,20,8.05,CL,1592577759
56,Hobart,-42.88,147.33,44.01,93,75,2.24,AU,1592577732
57,Berlevåg,70.86,29.09,46.4,65,90,21.92,NO,1592577760
58,New Norfolk,-42.78,147.06,46.0,87,100,1.83,AU,1592577761
59,Bonoua,5.27,-3.6,82.4,78,40,10.29,CI,1592577761
60,Nueve de Julio,-35.44,-60.88,57.0,76,96,3.0,AR,1592577761
61,Norman Wells,65.28,-126.83,62.6,82,75,3.36,CA,1592577726
62,Narsaq,60.92,-46.05,48.2,57,75,5.82,GL,1592577762
63,Ketchikan,55.34,-131.65,55.4,100,90,8.05,US,1592577530
64,Puerto Ayora,-0.74,-90.35,71.01,92,98,5.99,EC,1592577763
65,Kaeo,-35.1,173.78,55.99,3,97,5.99,NZ,1592577763
66,Pembroke,45.82,-77.12,79.0,60,1,2.24,CA,1592577763
67,Bredasdorp,-34.53,20.04,82.4,23,0,3.94,ZA,1592577764
68,Hermanus,-34.42,19.23,75.0,35,0,11.01,ZA,1592577764
69,Lebu,-37.62,-73.65,53.71,85,12,9.73,CL,1592577764
70,Deputatsky,69.3,139.9,63.34,49,3,2.35,RU,1592577764
71,Dukat,62.55,155.55,49.82,80,28,1.1,RU,1592577765
72,Saint-Joseph,-21.37,55.62,71.6,64,94,24.16,RE,1592577765
